Country,Afghanistan,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Herzegovina,Brazil,Bulgaria,Faso,Cameroon,Canada,Republic,Chad,Chile,China,Colombia,Rica,Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Princess,Djibouti,Republic,Ecuador,Egypt,Salvador,Guinea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kenya,South,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Moldova,Morocco,Nepal,Netherlands,Zealand,Nicaragua,Niger,Nigeria,Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Marino,Principe,Arabia,Senegal,Serbia,Leone,Singapore,Slovakia,Slovenia,Somalia,Africa,Sudan,Spain,Lanka,Sudan,Sweden,Switzerland,Tajikistan,Tanzania,Thailand,Togo,Tunisia,Turkey,US,Ukraine,Emirates,Kingdom,Uruguay,Uzbekistan,Venezuela,World,Yemen,Zambia,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Herzegovina,Brazil,Bulgaria,Faso,Cameroon,Canada,Republic,Chad,Chile,China,Colombia,Rica,Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Princess,Djibouti,Republic,Ecuador,Egypt,Salvador,Guinea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kenya,South,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Moldova,Morocco,Nepal,Netherlands,Zealand,Nicaragua,Niger,Nigeria,Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Marino,Principe,Arabia,Senegal,Serbia,Leone,Singapore,Slovakia,Slovenia,Somalia,Africa,Sudan,Spain,Lanka,Sudan,Sweden,Switzerland,Tajikistan,Tanzania,Thailand,Togo,Tunisia,Turkey,US,Ukraine,Emirates,Kingdom,Uruguay,Uzbekistan,Venezuela,World,Yemen,Zambia
2020/2/29,,,,,,,,,,,,,,,,,,,,,,,,,,,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,21,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872,,,,,,,,,,,,,,,,,,,,,,,,,,,,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,21,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872,,
2020/3/1,,,,,,,,,,,,,,,,,,,,,,,,,,,2838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,29,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2941,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,29,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2941,,
2020/3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,2873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,34,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2996,,,,,,,,,,,,,,,,,,,,,,,,,,,,2873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,34,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2996,,
2020/3/3,,,,,,,,,,,,,,,,,,,,,,,,,,,2915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,52,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,2915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,52,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3085,,
2020/3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,79,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,79,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,,
2020/3/5,,,,,,,,,,,,,,,,,,,,,,,,,,,2984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,107,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,3254,,,,,,,,,,,,,,,,,,,,,,,,,,,,2984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,107,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,3254,,
2020/3/6,,,,,,,,,,,,,,,,,,,,,,,,,,,3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,148,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,3347,,,,,,,,,,,,,,,,,,,,,,,,,,,,3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,148,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,3347,,
2020/3/7,,,,,,,,,,,,,,,,,,,,,,,,,,,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,197,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,3459,,,,,,,,,,,,,,,,,,,,,,,,,,,,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,197,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,3459,,
2020/3/8,,,,,,,,,,,,,,,,,,,,,,,,,,,3073,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,145,,,,233,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,17,,,,,,,3558,,,,,,,,,,,,,,,,,,,,,,,,,,,,3073,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,145,,,,233,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,17,,,,,,,3558,,
2020/3/9,,,,,,,,,,,,,,,,,,,,,,,,,,,3101,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,194,,,,366,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,21,,,,,,,3801,,,,,,,,,,,,,,,,,,,,,,,,,,,,3101,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,194,,,,366,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,21,,,,,,,3801,,
2020/3/10,,,,,,,,,,,,,,,,,,,,,,,,,,,3124,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,237,,,,463,,10,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,22,,,,,,,3987,,,,,,,,,,,,,,,,,,,,,,,,,,,,3124,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,237,,,,463,,10,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,22,,,,,,,3987,,
2020/3/11,,,,,,,,,,,,,,,,,,,,,,,,,,,3140,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,291,,,,631,,10,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,28,,,,,,,4263,,,,,,,,,,,,,,,,,,,,,,,,,,,,3140,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,291,,,,631,,10,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,28,,,,,,,4263,,
2020/3/12,,,,,,,,,,,,,,,,,,,,,,,,,,,3162,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,354,,,,827,,15,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,32,,,,,,,4610,,,,,,,,,,,,,,,,,,,,,,,,,,,,3162,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,354,,,,827,,15,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,32,,,,,,,4610,,
2020/3/13,,,,,,,,,,,,,,,,,,,,,,,,,,,3173,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,429,,,,1016,,16,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,43,,,,,,,4913,,,,,,,,,,,,,,,,,,,,,,,,,,,,3173,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,429,,,,1016,,16,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,43,,,,,,,4913,,
2020/3/14,,,,,,,,,,,,,,,,,,,,,,,,,,,3181,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,514,,,,1266,,19,,,66,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,11,,,,,,,52,,,10,,,,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,3181,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,514,,,,1266,,19,,,66,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,11,,,,,,,52,,,10,,,,5411,,
2020/3/15,,,,,,,,,,,,,,,,,,,,,,,,,,,3194,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,611,10,,,1441,,22,,,72,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,13,,,,,,,59,,,28,,,,5831,,,,,,,,,,,,,,,,,,,,,,,,,,,,3194,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,611,10,,,1441,,22,,,72,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,13,,,,,,,59,,,28,,,,5831,,
2020/3/16,,,,,,,,,,,,,,,,,,,,,,,,,,,3204,,,,,,,,,,,,,,,,,,,91,,,11,,,,,,,,,,,,,724,10,,,1809,,22,,,75,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,289,,,,14,,,,,,,72,,,43,,,,6471,,,,,,,,,,,,,,,,,,,,,,,,,,,,3204,,,,,,,,,,,,,,,,,,,91,,,11,,,,,,,,,,,,,724,10,,,1809,,22,,,75,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,289,,,,14,,,,,,,72,,,43,,,,6471,,
2020/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,3218,,,,,,,,,,,,,,,,,,,149,,,17,,,,,,,,,,,,,853,10,,,2158,,27,,,75,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,342,,,,14,,,,,,,100,,,66,,,,7151,,,,,,,,,,,,,,,,,,,,,,,,,,,,3218,,,,,,,,,,,,,,,,,,,149,,,17,,,,,,,,,,,,,853,10,,,2158,,27,,,75,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,342,,,,14,,,,,,,100,,,66,,,,7151,,
2020/3/18,,,,,,,,,,,,,,,10,,,,,,,,,,,,3231,,,,,,,,,,,,,,,,,,,149,,,24,,,,,,,,,,,,,988,11,,,2503,,29,,,81,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,533,,,,27,,,,,,,134,,,82,,,,7957,,,,,,,,,,,,,,,,10,,,,,,,,,,,,3231,,,,,,,,,,,,,,,,,,,149,,,24,,,,,,,,,,,,,988,11,,,2503,,29,,,81,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,533,,,,27,,,,,,,134,,,82,,,,7957,,
2020/3/19,,,,,,,,,,,,,,,14,,,,,,,,,,,,3242,,,,,,,,,,,,,,,,,,,149,,,28,,,,,,,,,,,,19,1135,12,,,2978,,29,,,84,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,19,,,,,,11,,,,,,,,,,,,623,,,10,28,,,,,,,191,,,116,,,,8852,,,,,,,,,,,,,,,,14,,,,,,,,,,,,3242,,,,,,,,,,,,,,,,,,,149,,,28,,,,,,,,,,,,19,1135,12,,,2978,,29,,,84,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,19,,,,,,11,,,,,,,,,,,,623,,,10,28,,,,,,,191,,,116,,,,8852,,
2020/3/20,,,,,,,,,,,,,,,21,,,,,,,,,,,,3250,,,,,,,,,,,,,,,,,,,244,,,44,,,,,,,,,,,,25,1284,13,,,3405,,29,,,91,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,17,,,,,,11,,,,,,,,,,,,830,,,11,41,,,,,,,269,,,159,,,,9958,,,,,,,,,,,,,,,,21,,,,,,,,,,,,3250,,,,,,,,,,,,,,,,,,,244,,,44,,,,,,,,,,,,25,1284,13,,,3405,,29,,,91,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,17,,,,,,11,,,,,,,,,,,,830,,,11,41,,,,,,,269,,,159,,,,9958,,
2020/3/21,,,11,,,,,,,,,,,,37,,,,11,,,,12,,,,3255,,,,,,,,,,,,,,,,,,,451,,,67,,,,,,,,,,,,32,1433,17,,,4032,,33,,,94,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,18,,,,,,14,,,,,,,,,,,,1043,,,16,54,,,,,,,366,,,195,,,,11439,,,,11,,,,,,,,,,,,37,,,,11,,,,12,,,,3255,,,,,,,,,,,,,,,,,,,451,,,67,,,,,,,,,,,,32,1433,17,,,4032,,33,,,94,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,18,,,,,,14,,,,,,,,,,,,1043,,,16,54,,,,,,,366,,,195,,,,11439,,
2020/3/22,,,15,,,,,,,,,,,,67,,,,15,,,,19,,,,3261,,,,,,,,13,,,,,10,,,,,,563,,,84,,13,,,,,,,,,,38,1556,17,,,4825,,35,,,102,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,19,,12,,,,20,,,,,,,,,,,,1375,,,20,75,,,,,,,456,,,251,,,,13141,,,,15,,,,,,,,,,,,67,,,,15,,,,19,,,,3261,,,,,,,,13,,,,,10,,,,,,563,,,84,,13,,,,,,,,,,38,1556,17,,,4825,,35,,,102,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,19,,12,,,,20,,,,,,,,,,,,1375,,,20,75,,,,,,,456,,,251,,,,13141,,
2020/3/23,,,17,,,,,,16,,,,,,75,,,,25,,,,21,,,,3276,,,,,,,,13,,,,14,14,,,,,,676,,,94,,15,,,,,,,,,,48,1685,20,,,5476,,41,,,111,,,,,,,,,,,,10,,,,,,,,180,,,,,,,,,,,,25,,14,,,,20,,,,,,,,,,,,1772,,,21,98,,,,,,30,600,,,286,,,,14840,,,,17,,,,,,16,,,,,,75,,,,25,,,,21,,,,3276,,,,,,,,13,,,,14,14,,,,,,676,,,94,,15,,,,,,,,,,48,1685,20,,,5476,,41,,,111,,,,,,,,,,,,10,,,,,,,,180,,,,,,,,,,,,25,,14,,,,20,,,,,,,,,,,,1772,,,21,98,,,,,,30,600,,,286,,,,14840,,
2020/3/24,,,17,,,,,,21,,,,,,88,,,,34,,,,25,,,,3276,,,,,,,,24,,,,18,19,,,,,,862,,,123,,17,,,,,,,,,10,49,1812,23,,,6077,,42,,,111,,,,,,,,,,,,14,,,,,,,,214,,,,,,10,,,,,,33,,23,,,,20,,,,,,,,,,,,2311,,,25,120,,,,,,37,784,,,360,,,,16758,,,,17,,,,,,21,,,,,,88,,,,34,,,,25,,,,3276,,,,,,,,24,,,,18,19,,,,,,862,,,123,,17,,,,,,,,,10,49,1812,23,,,6077,,42,,,111,,,,,,,,,,,,14,,,,,,,,214,,,,,,10,,,,,,33,,23,,,,20,,,,,,,,,,,,2311,,,25,120,,,,,,37,784,,,360,,,,16758,,
2020/3/25,,,19,,,,,,28,,,,,,122,,,,46,,,,26,,,,3283,,,,,,,,32,10,,,27,20,,,,,,1102,,,157,,20,,,,,,,,,10,55,1934,27,,,6820,,43,,,120,,,,,,,,,,,,16,,,,,,,,277,,,,,,12,,,,,,35,10,33,,11,,21,,,,,,,,,,,,2808,,,36,122,,,,,,44,1019,,,509,,,,19026,,,,19,,,,,,28,,,,,,122,,,,46,,,,26,,,,3283,,,,,,,,32,10,,,27,20,,,,,,1102,,,157,,20,,,,,,,,,10,55,1934,27,,,6820,,43,,,120,,,,,,,,,,,,16,,,,,,,,277,,,,,,12,,,,,,35,10,33,,11,,21,,,,,,,,,,,,2808,,,36,122,,,,,,44,1019,,,509,,,,19026,,
2020/3/26,,,21,,,,,,30,,,,,,178,,,,59,,,,30,,,,3287,,,,,,,,34,10,,10,28,21,,,,,,1333,,,206,,22,,,,,,,10,,12,58,2077,29,,,7503,,45,,,126,,,,,,,,,,,,20,,,,,,,,357,,,,,,14,,,,,,38,14,43,,17,,21,,,,,,,,,,,,3647,,,62,153,,,,,,59,1329,,,695,,,,21799,,,,21,,,,,,30,,,,,,178,,,,59,,,,30,,,,3287,,,,,,,,34,10,,10,28,21,,,,,,1333,,,206,,22,,,,,,,10,,12,58,2077,29,,,7503,,45,,,126,,,,,,,,,,,,20,,,,,,,,357,,,,,,14,,,,,,38,14,43,,17,,21,,,,,,,,,,,,3647,,,62,153,,,,,,59,1329,,,695,,,,21799,,
2020/3/27,,,25,,,,,13,49,,,,,,220,,,,77,,,,38,,,,3293,,,,,,,,41,10,,10,34,24,,,,,,1698,,,267,,26,,,,,,,10,,20,78,2234,36,19,,8215,,47,,,131,,,,,,,,,,,,23,,,,,,11,,435,,,,,,14,,11,,,,45,16,60,,23,,21,,,,,,,,,,,,4365,,,77,191,,,,,,75,1736,,,879,,,,24800,,,,25,,,,,13,49,,,,,,220,,,,77,,,,38,,,,3293,,,,,,,,41,10,,10,34,24,,,,,,1698,,,267,,26,,,,,,,10,,20,78,2234,36,19,,8215,,47,,,131,,,,,,,,,,,,23,,,,,,11,,435,,,,,,14,,11,,,,45,16,60,,23,,21,,,,,,,,,,,,4365,,,77,191,,,,,,75,1736,,,879,,,,24800,,
2020/3/28,,,26,,,13,,13,58,,,,,,289,,,,92,,,,54,,,,3298,,,,,,,,52,10,,20,36,30,,,,,,1997,,,342,,28,,,,,,,10,,20,87,2378,40,22,12,9134,,49,,,139,,,,,,,,,15,,,26,,,,12,,23,,547,,,,,,19,,12,,,11,54,16,76,,26,,21,,,,,,,,,,,,5138,,,105,231,,,,,,92,2284,,,1163,,,,28308,,,,26,,,13,,13,58,,,,,,289,,,,92,,,,54,,,,3298,,,,,,,,52,10,,20,36,30,,,,,,1997,,,342,,28,,,,,,,10,,20,87,2378,40,22,12,9134,,49,,,139,,,,,,,,,15,,,26,,,,12,,23,,547,,,,,,19,,12,,,11,54,16,76,,26,,21,,,,,,,,,,,,5138,,,105,231,,,,,,92,2284,,,1163,,,,28308,,
2020/3/29,,10,29,,,18,,14,68,,,,,,353,,,,111,,11,,61,,,,3301,,,,,,,11,65,10,,28,48,36,,,,,,2317,,,433,,32,,,,,,,11,,24,102,2517,42,36,12,10023,,52,,,144,,,,,,,,,18,,,27,,,,16,,25,,640,,,,,,23,,14,14,,16,68,18,100,,37,,22,,,,10,,,,,,,,5982,,,105,264,,,,,,108,2921,,,1457,,,,31990,,,10,29,,,18,,14,68,,,,,,353,,,,111,,11,,61,,,,3301,,,,,,,11,65,10,,28,48,36,,,,,,2317,,,433,,32,,,,,,,11,,24,102,2517,42,36,12,10023,,52,,,144,,,,,,,,,18,,,27,,,,16,,25,,640,,,,,,23,,14,14,,16,68,18,100,,37,,22,,,,10,,,,,,,,5982,,,105,264,,,,,,108,2921,,,1457,,,,31990,,
2020/3/30,,10,31,,,19,,16,86,,,,,,431,,,,136,,12,,64,,,,3306,10,,,,,,16,72,10,,39,58,40,,,,,11,2611,,,533,,38,,,,,,,13,,27,114,2640,42,46,15,10779,,54,,,152,,,,,10,,,,21,,,35,,,,20,,26,,772,,,,,,25,,21,17,,18,71,22,119,,43,,22,,,,13,,,,11,,,,6803,,,110,300,,,,,,131,3546,10,,1672,,,,35456,,,10,31,,,19,,16,86,,,,,,431,,,,136,,12,,64,,,,3306,10,,,,,,16,72,10,,39,58,40,,,,,11,2611,,,533,,38,,,,,,,13,,27,114,2640,42,46,15,10779,,54,,,152,,,,,10,,,,21,,,35,,,,20,,26,,772,,,,,,25,,21,17,,18,71,22,119,,43,,22,,,,13,,,,11,,,,6803,,,110,300,,,,,,131,3546,10,,1672,,,,35456,,
2020/3/31,,11,35,,,23,,17,108,,,,,,513,,,10,159,,12,,80,,,,3313,12,,,,,,23,77,10,,42,60,41,,,,,13,3030,,,645,,43,,,,,,,15,,32,122,2757,46,54,16,11591,,54,,,158,,,,,11,,,,22,,,37,,,,28,,33,,865,,,,,,32,,26,24,,24,78,31,140,,65,,25,,,,16,,,,11,,,,7716,,,146,359,,,,,,168,4352,13,,2046,,,,39604,,,11,35,,,23,,17,108,,,,,,513,,,10,159,,12,,80,,,,3313,12,,,,,,23,77,10,,42,60,41,,,,,13,3030,,,645,,43,,,,,,,15,,32,122,2757,46,54,16,11591,,54,,,158,,,,,11,,,,22,,,37,,,,28,,33,,865,,,,,,32,,26,24,,24,78,31,140,,65,,25,,,,16,,,,11,,,,7716,,,146,359,,,,,,168,4352,13,,2046,,,,39604,,
2020/4/1,,15,44,12,,27,,18,128,,,,,,705,,,13,201,,14,,101,,,12,3314,16,,,,,,31,90,10,,51,75,46,,,,,17,3532,,,775,,49,,,,,,,16,,35,136,2898,50,71,20,12428,,56,,,162,,,,,12,,,,23,,,43,,,,29,,36,,1040,,,,,,39,,27,30,,30,88,33,160,,82,17,26,,10,,16,,,,15,,,,8464,,,180,433,,,10,,10,214,5568,17,,2429,,,,44440,,,15,44,12,,27,,18,128,,,,,,705,,,13,201,,14,,101,,,12,3314,16,,,,,,31,90,10,,51,75,46,,,,,17,3532,,,775,,49,,,,,,,16,,35,136,2898,50,71,20,12428,,56,,,162,,,,,12,,,,23,,,43,,,,29,,36,,1040,,,,,,39,,27,30,,30,88,33,160,,82,17,26,,10,,16,,,,15,,,,8464,,,180,433,,,10,,10,214,5568,17,,2429,,,,44440,,
2020/4/2,,15,58,14,,28,,20,146,,,,,,828,,,13,240,10,16,,109,,,16,3321,17,,,,,,39,104,11,,57,93,52,,,,,17,4414,,,920,,50,,,,,,10,20,,58,157,3036,52,85,26,13155,,57,,,165,,,,,14,,,,29,,,45,,,,37,,39,,1175,,,,,11,44,,34,30,,38,96,43,187,,92,24,26,,16,,28,,,,15,,,,9387,,,239,488,,,12,,12,277,6787,20,,3100,,,,49968,,,15,58,14,,28,,20,146,,,,,,828,,,13,240,10,16,,109,,,16,3321,17,,,,,,39,104,11,,57,93,52,,,,,17,4414,,,920,,50,,,,,,10,20,,58,157,3036,52,85,26,13155,,57,,,165,,,,,14,,,,29,,,45,,,,37,,39,,1175,,,,,11,44,,34,30,,38,96,43,187,,92,24,26,,16,,28,,,,15,,,,9387,,,239,488,,,12,,12,277,6787,20,,3100,,,,49968,,
2020/4/3,,16,86,15,,36,,24,158,,,,,,1011,,,16,324,10,16,,139,,,18,3327,19,,,,,10,44,123,11,,60,120,58,,,11,,19,5398,,,1107,,53,,,,,,14,21,,72,170,3160,54,98,36,13915,,62,,,169,,,,,16,,,,30,,,50,,,,50,,44,,1341,,,,,11,50,,40,32,,55,107,57,209,,115,30,30,,21,,31,,,,17,,,,10348,,,308,536,,,15,,14,356,8349,22,,3752,,,,56251,,,16,86,15,,36,,24,158,,,,,,1011,,,16,324,10,16,,139,,,18,3327,19,,,,,10,44,123,11,,60,120,58,,,11,,19,5398,,,1107,,53,,,,,,14,21,,72,170,3160,54,98,36,13915,,62,,,169,,,,,16,,,,30,,,50,,,,50,,44,,1341,,,,,11,50,,40,32,,55,107,57,209,,115,30,30,,21,,31,,,,17,,,,10348,,,308,536,,,15,,14,356,8349,22,,3752,,,,56251,,
2020/4/4,,17,105,16,,39,,28,168,,,,,,1143,,,17,359,14,16,,179,,,22,3331,25,,,,,11,53,139,11,,68,145,66,,,12,,20,6520,,,1275,,63,,,,,,15,26,,72,181,3294,54,120,40,14681,,63,,,174,,,,,17,,,,31,,,53,,,,60,,48,,1490,,,,,12,59,,41,37,,61,136,71,246,,133,34,30,,25,,39,,,,20,,,,11198,,,358,591,,,19,,18,425,9646,27,,4467,,,,62213,,,17,105,16,,39,,28,168,,,,,,1143,,,17,359,14,16,,179,,,22,3331,25,,,,,11,53,139,11,,68,145,66,,,12,,20,6520,,,1275,,63,,,,,,15,26,,72,181,3294,54,120,40,14681,,63,,,174,,,,,17,,,,31,,,53,,,,60,,48,,1490,,,,,12,59,,41,37,,61,136,71,246,,133,34,30,,25,,39,,,,20,,,,11198,,,358,591,,,19,,18,425,9646,27,,4467,,,,62213,,
