Country,Afghanistan,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Herzegovina,Brazil,Brunei,Bulgaria,Faso,Burma,Burundi,Verde,Cambodia,Cameroon,Canada,Republic,Chad,Chile,China,Colombia,Comoros,Rica,Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Princess,Djibouti,Republic,Ecuador,Egypt,Salvador,Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Guinea,Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Nepal,Netherlands,Zealand,Nicaragua,Niger,Nigeria,Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Marino,Principe,Arabia,Senegal,Serbia,Leone,Singapore,Slovakia,Slovenia,Somalia,Africa,Sudan,Spain,Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Togo,Tobago,Tunisia,Turkey,US,Uganda,Ukraine,Emirates,Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,Gaza,World,Yemen,Zambia,Zimbabwe,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Herzegovina,Brazil,Brunei,Bulgaria,Faso,Burma,Burundi,Verde,Cambodia,Cameroon,Canada,Republic,Chad,Chile,China,Colombia,Comoros,Rica,Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Princess,Djibouti,Republic,Ecuador,Egypt,Salvador,Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Guinea,Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Nepal,Netherlands,Zealand,Nicaragua,Niger,Nigeria,Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Marino,Principe,Arabia,Senegal,Serbia,Leone,Singapore,Slovakia,Slovenia,Somalia,Africa,Sudan,Spain,Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Togo,Tobago,Tunisia,Turkey,US,Uganda,Ukraine,Emirates,Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,Gaza,World,Yemen,Zambia
2020/2/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77027,,,,,,,,,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77027,,,,,,,,,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78572,,
2020/2/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77050,,,,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,147,,,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77050,,,,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,147,,,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78958,,
2020/2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77271,,,,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,159,,,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77271,,,,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,159,,,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79525,,
2020/2/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77785,,,,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,,170,,,,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77785,,,,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,,170,,,,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80372,,
2020/2/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78198,,,,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,453,,189,,,,1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78198,,,,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,453,,189,,,,1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81346,,
2020/2/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78632,,,,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,655,,214,,,,1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78632,,,,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,655,,214,,,,1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82704,,
2020/2/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78962,,,,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,,,,888,,228,,,,2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78962,,,,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,,,,888,,228,,,,2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84070,,
2020/3/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79395,,,,,,,,,,705,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,593,,,,1128,,241,,,,3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79395,,,,,,,,,,705,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,593,,,,1128,,241,,,,3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85967,,
2020/3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79972,,,,,,,,,,705,,,,,,,,,,,,130,,,130,,,,,,,,,,,,,,978,,,,1694,,256,,,,3736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79972,,,,,,,,,,705,,,,,,,,,,,,130,,,130,,,,,,,,,,,,,,978,,,,1694,,256,,,,3736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88325,,
2020/3/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80177,,,,,,,,,,705,,,,,,,,,,,,191,,,159,,,,,,,,,,,,,,1501,,,,2036,,274,,,,4335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,90262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80177,,,,,,,,,,705,,,,,,,,,,,,191,,,159,,,,,,,,,,,,,,1501,,,,2036,,274,,,,4335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,90262,,
2020/3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80303,,,,,,,,,,706,,,,,,,,,,,,204,,,196,,,,,,,,,,,,,,2336,,,,2502,,293,,,,5186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,92795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80303,,,,,,,,,,706,,,,,,,,,,,,204,,,196,,,,,,,,,,,,,,2336,,,,2502,,293,,,,5186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,92795,,
2020/3/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80428,,,,,,,,,,706,,,,,,,,,,,,288,,,262,,,,,,,,,,,,,,2922,,,,3089,,331,,,,5621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,222,,,,,,,,,,,,,,104,,,,,,,,,,95075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80428,,,,,,,,,,706,,,,,,,,,,,,288,,,262,,,,,,,,,,,,,,2922,,,,3089,,331,,,,5621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,222,,,,,,,,,,,,,,104,,,,,,,,,,95075,,
2020/3/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80581,,,,,,,,,,706,,,,,,,,,,,,380,,,482,,,,,,,,,,,,,,3513,,,,3858,,360,,,,6088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,259,,,,,114,,,,,,,,,174,,,,115,,,,,,97844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80581,,,,,,,,,,706,,,,,,,,,,,,380,,,482,,,,,,,,,,,,,,3513,,,,3858,,360,,,,6088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,259,,,,,114,,,,,,,,,174,,,,115,,,,,,97844,,
2020/3/7,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,80735,,,,,,,,,,706,,,,,,,,,,,,656,,,670,,,,,,,,,,,,,,4747,,,,4636,,420,,,,6593,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,108,,,,,,,,,,,,,,,,,,,130,,,,,,400,,,,101,214,,,,,,,,,222,,,,163,,,,,,101761,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,80735,,,,,,,,,,706,,,,,,,,,,,,656,,,670,,,,,,,,,,,,,,4747,,,,4636,,420,,,,6593,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,108,,,,,,,,,,,,,,,,,,,130,,,,,,400,,,,101,214,,,,,,,,,222,,,,163,,,,,,101761,,
2020/3/8,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,80815,,,,,,,,,,706,,,,,,,,,,,,959,,,799,,,,,,,,,,,,,,5823,,,,5883,,461,,,,7041,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,147,,,,,,,,,,,,,,,,,,,138,,,,,,500,,,,161,268,,,,,,,,,337,,,,206,,,,,,105782,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,80815,,,,,,,,,,706,,,,,,,,,,,,959,,,799,,,,,,,,,,,,,,5823,,,,5883,,461,,,,7041,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,147,,,,,,,,,,,,,,,,,,,138,,,,,,500,,,,161,268,,,,,,,,,337,,,,206,,,,,,105782,,
2020/3/9,,,,,,,,,104,,,,,,200,,,,,,,,,,,,,,,,,80868,,,,,,,,,,706,,,,,,,,,,,,1136,,,1040,,,,,,,,,,,,,,6566,,,,7375,,502,,,,7314,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,176,,,,,,,,,,,,,,,,,,,150,,,,,,673,,,,203,337,,,,,,,,,451,,,,273,,,,,,109754,,,,,,,,,,,104,,,,,,200,,,,,,,,,,,,,,,,,80868,,,,,,,,,,706,,,,,,,,,,,,1136,,,1040,,,,,,,,,,,,,,6566,,,,7375,,502,,,,7314,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,176,,,,,,,,,,,,,,,,,,,150,,,,,,673,,,,203,337,,,,,,,,,451,,,,273,,,,,,109754,,
2020/3/10,,,,,,,,,131,,,,,,239,,,,,,,,,,,,,,,,,80905,,,,,,,,,,706,,,,,,,,,,,,1219,,,1176,,,,,,,,,,,,,,7161,,,,9172,,511,,,,7478,,,,,,,,,,,,117,,,,,,,,,,,,,321,,,,,,205,,,,,,,,,,,,,,,,,,,150,,,,,,1073,,,,248,374,,,,,,,,,519,,,,321,,,,,,113536,,,,,,,,,,,131,,,,,,239,,,,,,,,,,,,,,,,,80905,,,,,,,,,,706,,,,,,,,,,,,1219,,,1176,,,,,,,,,,,,,,7161,,,,9172,,511,,,,7478,,,,,,,,,,,,117,,,,,,,,,,,,,321,,,,,,205,,,,,,,,,,,,,,,,,,,150,,,,,,1073,,,,248,374,,,,,,,,,519,,,,321,,,,,,113536,,
2020/3/11,,,,,,,,107,182,,,110,,,267,,,,,,,,,,,,,,,,,80934,,,,,,,,,264,706,,,,,,,,,,,,1794,,,1457,,,,,,,,,,,,,,8042,,,,10149,,581,,,,7513,,,,,,,,,,,,129,,,,,,,,,,,,,382,,,,,,400,,,,,,,,,,,,,,,,,,,160,,,,,,1695,,,,355,491,,,,,,,,,711,,,,383,,,,,,118375,,,,,,,,,,107,182,,,110,,,267,,,,,,,,,,,,,,,,,80934,,,,,,,,,264,706,,,,,,,,,,,,1794,,,1457,,,,,,,,,,,,,,8042,,,,10149,,581,,,,7513,,,,,,,,,,,,129,,,,,,,,,,,,,382,,,,,,400,,,,,,,,,,,,,,,,,,,160,,,,,,1695,,,,355,491,,,,,,,,,711,,,,383,,,,,,118375,,
2020/3/12,,,,,,,,128,246,,,195,,,314,,,,,,,,,,,,,108,,,,80969,,,,,,,,,444,706,,,,,,,,,,,,2293,,,1908,,,,,,,,,,,,,,9000,,,,12462,,639,,,,7755,,,,,,,,,,,,149,,,,,,,,,,,,,503,,,,,,598,,,,,,,,,262,,,,,,,,,,178,,,,,,2277,,,,500,652,,,,,,,,,1109,,,,458,,,,,,125704,,,,,,,,,,128,246,,,195,,,314,,,,,,,,,,,,,108,,,,80969,,,,,,,,,444,706,,,,,,,,,,,,2293,,,1908,,,,,,,,,,,,,,9000,,,,12462,,639,,,,7755,,,,,,,,,,,,149,,,,,,,,,,,,,503,,,,,,598,,,,,,,,,262,,,,,,,,,,178,,,,,,2277,,,,500,652,,,,,,,,,1109,,,,458,,,,,,125704,,
2020/3/13,,,,,,,,128,302,,,195,,,314,,,,,,,,,,,,,117,,,,80981,,,,,,,,,617,706,,,,,,,,,,,,2293,,,2078,,,,,,,,,,,103,,,10075,,,100,15113,,639,,,,7869,,,,,,,,,,,,149,,,,,,,,,,,,,503,,,,,,702,,,,,,,,,262,,,,,,,,,,178,,,,,,2277,,,,599,652,,,,,,,,,1561,,,,458,,,,,,130909,,,,,,,,,,128,302,,,195,,,314,,,,,,,,,,,,,117,,,,80981,,,,,,,,,617,706,,,,,,,,,,,,2293,,,2078,,,,,,,,,,,103,,,10075,,,100,15113,,639,,,,7869,,,,,,,,,,,,149,,,,,,,,,,,,,503,,,,,,702,,,,,,,,,262,,,,,,,,,,178,,,,,,2277,,,,599,652,,,,,,,,,1561,,,,458,,,,,,130909,,
2020/3/14,,,,,,,,200,504,,,195,,,559,,,,151,,,,,,,,,193,,,,80995,,,,,,,,141,804,706,,,,,,,,,,,155,3681,,,3675,,,190,,,,,,,,134,,,11364,101,,126,17660,,701,,,,7979,,,,,,,,,,,,197,,,,,,,,,,,,,806,,,,,,996,,,,,,,,112,320,,,,,,,,,,200,,141,,,,5232,,,,814,1139,,,,,,,,,2157,,,,801,,,,,,145204,,,,,,,,,,200,504,,,195,,,559,,,,151,,,,,,,,,193,,,,80995,,,,,,,,141,804,706,,,,,,,,,,,155,3681,,,3675,,,190,,,,,,,,134,,,11364,101,,126,17660,,701,,,,7979,,,,,,,,,,,,197,,,,,,,,,,,,,806,,,,,,996,,,,,,,,112,320,,,,,,,,,,200,,141,,,,5232,,,,814,1139,,,,,,,,,2157,,,,801,,,,,,145204,,
2020/3/15,,,,,,,,250,655,,,210,,,689,,,,151,,,,,,,,,198,,,,81030,,,,,,,,189,836,706,,,,109,,,,115,,,225,4496,,,4585,,,228,,,,,,,,156,102,,12729,110,129,155,21157,,773,,,,8086,,104,,,,,,,,,,238,,,,,,,,,,,,,962,,,,,,1090,,,,,,111,103,169,337,123,,,,,103,,,,212,,181,,,,6391,,,,961,1359,,,,,,,,,2870,,,,1143,,,,,,156283,,,,,,,,,,250,655,,,210,,,689,,,,151,,,,,,,,,198,,,,81030,,,,,,,,189,836,706,,,,109,,,,115,,,225,4496,,,4585,,,228,,,,,,,,156,102,,12729,110,129,155,21157,,773,,,,8086,,104,,,,,,,,,,238,,,,,,,,,,,,,962,,,,,,1090,,,,,,111,103,169,337,123,,,,,103,,,,212,,181,,,,6391,,,,961,1359,,,,,,,,,2870,,,,1143,,,,,,156283,,
2020/3/16,,,,,,,,297,860,,,214,,,886,,,,162,,,,,,,,,252,,,,81062,,,,,,,,253,875,706,,,,110,,,,171,,,244,4532,,,5795,,,331,,,,,,,,171,113,117,13938,116,129,213,24747,,839,,,,8162,,112,,,110,,,,,,,428,,,,,,,,,,,,,1138,,,,,,1221,,136,,,,140,119,245,401,131,,,101,,103,,,,226,,219,,,,7798,,,,1022,2200,,,,114,,,,,2968,,,,1144,,,,,,167022,,,,,,,,,,297,860,,,214,,,886,,,,162,,,,,,,,,252,,,,81062,,,,,,,,253,875,706,,,,110,,,,171,,,244,4532,,,5795,,,331,,,,,,,,171,113,117,13938,116,129,213,24747,,839,,,,8162,,112,,,110,,,,,,,428,,,,,,,,,,,,,1138,,,,,,1221,,136,,,,140,119,245,401,131,,,101,,103,,,,226,,219,,,,7798,,,,1022,2200,,,,114,,,,,2968,,,,1144,,,,,,167022,,
2020/3/17,,,,,,,,377,1018,,,214,,,1058,,,,200,,,,,,,,,415,,,155,81100,,,,,,,,298,933,706,,,,150,,,,205,,,277,6683,,,7272,,,331,,,,,,,,180,119,134,14991,124,169,218,27980,,839,,,,8236,,123,,,110,,,,,,,566,,,,,,,,,,,,,1416,,,,,,1333,,236,,,,142,177,331,439,158,,,109,,118,,,,243,,253,,,,9942,,,,1103,2200,,,,147,,,,,4360,,,,1550,,,,,,181452,,,,,,,,,,377,1018,,,214,,,1058,,,,200,,,,,,,,,415,,,155,81100,,,,,,,,298,933,706,,,,150,,,,205,,,277,6683,,,7272,,,331,,,,,,,,180,119,134,14991,124,169,218,27980,,839,,,,8236,,123,,,110,,,,,,,566,,,,,,,,,,,,,1416,,,,,,1333,,236,,,,142,177,331,439,158,,,109,,118,,,,243,,253,,,,9942,,,,1103,2200,,,,147,,,,,4360,,,,1550,,,,,,181452,,
2020/3/18,,,,,,,,452,1332,,,228,,,1243,,,,321,,,,,,,,,478,,,201,81135,,,,,,,,396,1025,706,,,,196,,,,225,,,321,7715,,,9257,,,387,,,,,,,,220,142,172,16169,154,223,250,31506,,878,,,,8320,,130,,,120,,,,140,,,673,,,,,,,,,,,,,1711,,,,,,1463,,299,,,117,187,238,448,439,184,114,,109,,171,,,,266,,275,,,,11748,,,,1190,2700,,,,177,,,,,6141,,,,1957,,,,,,196917,,,,,,,,,,452,1332,,,228,,,1243,,,,321,,,,,,,,,478,,,201,81135,,,,,,,,396,1025,706,,,,196,,,,225,,,321,7715,,,9257,,,387,,,,,,,,220,142,172,16169,154,223,250,31506,,878,,,,8320,,130,,,120,,,,140,,,673,,,,,,,,,,,,,1711,,,,,,1463,,299,,,117,187,238,448,439,184,114,,109,,171,,,,266,,275,,,,11748,,,,1190,2700,,,,177,,,,,6141,,,,1957,,,,,,196917,,
2020/3/19,,,,,,,,568,1646,,,256,,,1486,,,,372,,,,,,,,,657,,,238,81202,,,,,,,,464,1116,712,,,111,196,,,,258,,,336,9124,,,12327,,,418,,,,,,,,250,156,227,17361,164,292,304,35713,,889,,,,8413,,142,,,133,,,,203,,,790,,,,,,118,,,,,,,2058,,,,,,1550,,454,,,145,202,251,448,452,260,147,,119,,171,,,,313,105,275,,116,,13910,,,,1279,3028,,,,212,,,,,8914,,,113,2634,,,,,,216161,,,,,,,,,,568,1646,,,256,,,1486,,,,372,,,,,,,,,657,,,238,81202,,,,,,,,464,1116,712,,,111,196,,,,258,,,336,9124,,,12327,,,418,,,,,,,,250,156,227,17361,164,292,304,35713,,889,,,,8413,,142,,,133,,,,203,,,790,,,,,,118,,,,,,,2058,,,,,,1550,,454,,,145,202,251,448,452,260,147,,119,,171,,,,313,105,275,,116,,13910,,,,1279,3028,,,,212,,,,,8914,,,113,2634,,,,,,216161,,
2020/3/20,,,,,,,115,681,2013,,,278,,,1795,,,,621,,,,,,,,,800,,,238,81264,102,,,,105,,,694,1225,712,,,199,256,,,,267,,,400,10970,,,15320,,,418,,,,,,,,330,194,311,18407,192,557,427,41035,,924,,,,8565,,148,,,157,,,,335,,,900,,,,,,164,,,,,,,2467,,,,,,1746,,501,109,,234,217,355,785,460,277,199,,119,,274,,103,,345,123,286,,150,,17963,,,,1439,4075,,,,272,,,,192,14153,,,140,2706,,,,,,243084,,,,,,,,,115,681,2013,,,278,,,1795,,,,621,,,,,,,,,800,,,238,81264,102,,,,105,,,694,1225,712,,,199,256,,,,267,,,400,10970,,,15320,,,418,,,,,,,,330,194,311,18407,192,557,427,41035,,924,,,,8565,,148,,,157,,,,335,,,900,,,,,,164,,,,,,,2467,,,,,,1746,,501,109,,234,217,355,785,460,277,199,,119,,274,,103,,345,123,286,,150,,17963,,,,1439,4075,,,,272,,,,192,14153,,,140,2706,,,,,,243084,,
2020/3/21,,,,,,128,136,791,2388,,,285,,,2257,,,,793,,127,,,,,,,943,,,434,81385,128,,,,128,,,833,1337,712,,,367,285,,,,283,,,450,12758,,,19848,,,495,,,,,,,,409,244,369,19644,208,683,529,47021,,963,,,,8652,,159,,111,163,,,,484,,,1030,,,,,,203,,,,,,,3003,,,,,,1914,,730,137,,234,230,425,1020,470,308,253,,144,,344,,135,,385,137,341,,202,,20410,,,,1639,5294,,,,322,,,,359,19479,,,140,4004,110,,,,,272698,,,,,,,,128,136,791,2388,,,285,,,2257,,,,793,,127,,,,,,,943,,,434,81385,128,,,,128,,,833,1337,712,,,367,285,,,,283,,,450,12758,,,19848,,,495,,,,,,,,409,244,369,19644,208,683,529,47021,,963,,,,8652,,159,,111,163,,,,484,,,1030,,,,,,203,,,,,,,3003,,,,,,1914,,730,137,,234,230,425,1020,470,308,253,,144,,344,,135,,385,137,341,,202,,20410,,,,1639,5294,,,,322,,,,359,19479,,,140,4004,110,,,,,272698,,
2020/3/22,,,139,,,158,160,1071,2814,,,305,,,2815,,,,1021,,163,,,,,,,1277,,,537,81458,196,,117,,206,,,995,1420,712,,112,506,294,,,,306,,,523,14463,,,22213,,,530,,,,,,,103,473,330,450,20610,214,785,712,53578,,1007,,,,8799,,176,,124,187,,,,670,,,1183,,,,,,251,,,,,,,3640,,,,,,2118,,776,200,,318,307,536,1280,481,367,306,,144,,392,,171,,432,178,383,,240,,25374,,,,1763,6575,,,,411,,,,670,25818,,,153,5057,135,,,,,304844,,,,,139,,,158,160,1071,2814,,,305,,,2815,,,,1021,,163,,,,,,,1277,,,537,81458,196,,117,,206,,,995,1420,712,,112,506,294,,,,306,,,523,14463,,,22213,,,530,,,,,,,103,473,330,450,20610,214,785,712,53578,,1007,,,,8799,,176,,124,187,,,,670,,,1183,,,,,,251,,,,,,,3640,,,,,,2118,,776,200,,318,307,536,1280,481,367,306,,144,,392,,171,,432,178,383,,240,,25374,,,,1763,6575,,,,411,,,,670,25818,,,153,5057,135,,,,,304844,,
2020/3/23,,,201,113,,266,194,1549,3582,,,334,,,3401,,,126,1546,,187,,,,,,,1469,,,632,81604,231,,134,,254,,,1120,1514,712,,202,789,327,,,,326,,,626,16243,,,24873,,,624,,,,,,,131,568,396,514,21638,233,906,883,59138,,1101,112,,,8961,,188,,139,248,,,143,798,,,1306,,,,,,316,,,,115,,,4217,102,,,,115,2385,,875,313,,363,380,634,1600,494,433,367,,175,,511,,222,,455,185,414,,274,,28768,,,,1934,7474,,,,599,,,,1236,33756,,,153,5730,158,,,113,,337597,,,,,201,113,,266,194,1549,3582,,,334,,,3401,,,126,1546,,187,,,,,,,1469,,,632,81604,231,,134,,254,,,1120,1514,712,,202,789,327,,,,326,,,626,16243,,,24873,,,624,,,,,,,131,568,396,514,21638,233,906,883,59138,,1101,112,,,8961,,188,,139,248,,,143,798,,,1306,,,,,,316,,,,115,,,4217,102,,,,115,2385,,875,313,,363,380,634,1600,494,433,367,,175,,511,,222,,455,185,414,,274,,28768,,,,1934,7474,,,,599,,,,1236,33756,,,153,5730,158,,,113,,337597,,
